"Escherichia coli str. K-12 substr. MG1655 - GI (Reference)","Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)","Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)","Escherichia coli str. K-12 substr. MG1655 - Description (Reference)","Legionella pneumophila subsp. pneumophila ATCC 43290 - ortholog count (reference : comparison)","Legionella pneumophila subsp. pneumophila ATCC 43290 - ortholuge status","Legionella pneumophila subsp. pneumophila ATCC 43290 - ortholog NCBI RefSeq accession","Campylobacter jejuni subsp. jejuni M1 - ortholog count (reference : comparison)","Campylobacter jejuni subsp. jejuni M1 - ortholuge status","Campylobacter jejuni subsp. jejuni M1 - ortholog NCBI RefSeq accession","Burkholderia multivorans ATCC 17616 NC_010801 - ortholog count (reference : comparison)","Burkholderia multivorans ATCC 17616 NC_010801 - ortholuge status","Burkholderia multivorans ATCC 17616 NC_010801 - ortholog NCBI RefSeq accession","Acinetobacter baumannii 1656-2 - ortholog count (reference : comparison)","Acinetobacter baumannii 1656-2 - ortholuge status","Acinetobacter baumannii 1656-2 - ortholog NCBI RefSeq accession","Shewanella violacea DSS12 - ortholog count (reference : comparison)","Shewanella violacea DSS12 - ortholuge status","Shewanella violacea DSS12 - ortholog NCBI RefSeq accession","Vibrio cholerae O1 biovar El Tor str. N16961 - ortholog count (reference : comparison)","Vibrio cholerae O1 biovar El Tor str. N16961 - ortholuge status","Vibrio cholerae O1 biovar El Tor str. N16961 - ortholog NCBI RefSeq accession"
"16128041","b0047","NP_414589.1","potassium:proton antiporter","1 to 1","SSD","WP_010947614.1","1 to 2","RBB","WP_002859297.1","1 to 2","RBB","WP_012467710.1","1 to 1","SSD","WP_000093492.1","2 to 1","RBB","WP_013050572.1","0","N/A",""
"16128042","b0048","NP_414590.1","dihydrofolate reductase","1 to 1","Borderline-SSD","WP_010946061.1","0","N/A","","1 to 1","RBB","WP_012467538.1","1 to 1","Borderline-SSD","WP_000312553.1","1 to 1","SSD","WP_041419651.1","1 to 1","SSD","NP_230094.1"
"16128043","b0049","NP_414591.1","diadenosine tetraphosphatase","1 to 1","RBB","WP_015443884.1","0","N/A","","1 to 1","RBB","WP_012213999.1","1 to 1","SSD","WP_000167241.1","1 to 1","SSD","WP_013050077.1","1 to 1","SSD","NP_230095.1"
"16128044","b0050","NP_414592.1","protein associated with Co2+ and Mg2+ efflux","0","N/A","","0","N/A","","1 to 1","RBB","WP_006400465.1","0","N/A","","1 to 1","SSD","WP_013050078.1","1 to 1","SSD","NP_230096.1"
"16128045","b0051","NP_414593.1","16S rRNA dimethyladenosine transferase, SAM-dependent","1 to 1","SSD","WP_010948613.1","1 to 1","SSD","WP_002855605.1","1 to 1","RBB","WP_012212743.1","1 to 1","SSD","WP_000284347.1","1 to 1","SSD","WP_013050079.1","1 to 1","SSD","NP_230097.1"
"16128046","b0052","NP_414594.1","4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent","1 to 1","SSD","WP_010946060.1","1 to 1","RBB","WP_012006739.1","1 to 1","RBB","WP_012212742.1","1 to 1","SSD","WP_001987901.1","1 to 1","SSD","WP_013050080.1","1 to 1","SSD","NP_230098.1"
"16128047","b0053","NP_414595.1","peptidyl-prolyl cis-trans isomerase (PPIase)","1 to 1","RBB","WP_015444876.1","0","N/A","","1 to 1","RBB","WP_012212741.1","1 to 1","SSD","WP_000850090.1","1 to 1","SSD","WP_013050081.1","1 to 1","SSD","NP_230099.1"
"16128048","b0054","NP_414596.1","LPS assembly OM complex LptDE, beta-barrel component","1 to 1","SSD","WP_016356722.1","1 to 1","RBB","WP_002876785.1","1 to 1","RBB","WP_012212740.1","1 to 1","SSD","WP_000682639.1","1 to 1","SSD","WP_041419653.1","1 to 1","SSD","NP_230100.1"
"16128049","b0055","NP_414597.1","DnaJ-like protein, membrane anchored","1 to 1","SSD","WP_010948047.1","1 to 1","RBB","WP_002853334.1","0","N/A","","0","N/A","","1 to 1","SSD","WP_013050085.1","1 to 1","SSD","NP_230101.1"
"16128052","b0058","NP_414600.1","pseudouridine synthase for 23S rRNA (position 746) and tRNAphe(position 32)","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_001130511.1","1 to 1","SSD","WP_013052855.1","1 to 1","SSD","NP_232134.1"
"16128053","b0059","NP_414601.1","RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor)","1 to 1","RBB","WP_010948005.1","0","N/A","","0","N/A","","1 to 1","SSD","WP_000413587.1","1 to 1","SSD","WP_013049637.1","1 to 1","SSD","NP_232135.1"
"16128054","b0060","NP_414602.1","DNA polymerase II","0","N/A","","0","N/A","","1 to 1","RBB","WP_012217736.1","0","N/A","","1 to 1","SSD","WP_013052242.1","1 to 1","SSD","NP_230857.1"
"16128055","b0061","NP_414603.1","L-ribulose-5-phosphate 4-epimerase","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128056","b0062","NP_414604.1","L-arabinose isomerase","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128057","b0063","NP_414605.1","L-ribulokinase","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128058","b0064","NP_414606.1","DNA-binding transcriptional dual regulator","1 to 1","RBB","WP_032802750.1","0","N/A","","1 to 1","RBB","WP_012216927.1","0","N/A","","0","N/A","","2 to 1","RBB","NP_233455.1"
"16128059","b0065","NP_414607.1","inner membrane protein, SNARE_assoc family","1 to 1","Borderline-SSD","WP_010947241.1","1 to 3","RBB","WP_002866182.1","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128060","b0066","NP_414608.1","thiamin transporter subunit","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","NP_232165.1"
"16128061","b0067","NP_414609.1","fused thiamin transporter subunits of ABC superfamily: membrane components","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","SSD","NP_232166.1"
"16128062","b0068","NP_414610.1","thiamin transporter subunit","0","N/A","","1 to 1","RBB","WP_002877159.1","1 to 1","RBB","WP_006414765.1","0","N/A","","0","N/A","","1 to 1","SSD","NP_232167.1"
"16128063","b0069","NP_414611.1","transcriptional DNA-binding transcriptional activator of sgrS sRNA","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","NP_232968.1"
"49175994","b0070","YP_025293.1","broad specificity sugar efflux system","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","3 to 1","RBB","NP_230906.1"
"16128065","b0071","NP_414613.1","3-isopropylmalate dehydratase small subunit","0","N/A","","1 to 1","SSD","WP_002853150.1","1 to 1","RBB","WP_012217301.1","1 to 1","Borderline-SSD","WP_000649450.1","1 to 1","SSD","WP_013053309.1","1 to 1","SSD","NP_232122.1"
"16128066","b0072","NP_414614.1","3-isopropylmalate dehydratase large subunit","0","N/A","","1 to 1","SSD","WP_002866810.1","1 to 1","RBB","WP_006399578.1","1 to 1","Borderline-SSD","WP_000907606.1","1 to 1","SSD","WP_013053310.1","1 to 1","SSD","NP_232121.1"
"90111082","b0073","NP_414615.4","3-isopropylmalate dehydrogenase, NAD(+)-dependent","1 to 2","RBB","WP_010948383.1","1 to 1","RBB","WP_002866809.1","1 to 1","RBB","WP_012217300.1","1 to 1","Non-SSD","WP_000043186.1","1 to 1","SSD","WP_041420482.1","1 to 1","SSD","NP_232120.1"
"16128068","b0074","NP_414616.1","2-isopropylmalate synthase","0","N/A","","1 to 1","SSD","WP_002866808.1","1 to 1","RBB","WP_006398785.1","1 to 1","Non-SSD","WP_000978841.1","1 to 1","SSD","WP_013053312.1","1 to 1","SSD","NP_232119.1"
"16128069","b0075","NP_414617.1","leu operon leader peptide","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"90111083","b0076","NP_414618.4","DNA-binding transcriptional activator","1 to 1","RBB","WP_010948080.1","0","N/A","","10 to 1","RBB","WP_006405472.1;WP_012212919.1;WP_012217502.1;WP_012216841.1;WP_012217585.1;WP_012467758.1;WP_012217586.1;WP_012217581.1;WP_012467756.1;WP_006402708.1","2 to 2","RBB","WP_001983834.1;WP_001047619.1","1 to 1","RBB","WP_013050492.1","1 to 1","RBB","NP_232114.1"
"90111084","b0077","YP_025294.2","acetolactate synthase III, large subunit","1 to 5","RBB","WP_010947377.1","1 to 1","SSD","WP_002866451.1","1 to 1","RBB","WP_012213004.1","1 to 1","SSD","WP_000422094.1","1 to 1","SSD","WP_013051867.1","1 to 1","SSD","NP_232112.1"
"16128071","b0078","NP_414620.1","acetolactate synthase III, thiamin-dependent, small subunit","0","N/A","","1 to 1","SSD","WP_002852211.1","1 to 1","RBB","WP_006398781.1","1 to 1","SSD","WP_001215920.1","1 to 1","SSD","WP_013051868.1","1 to 1","Borderline-SSD","NP_232111.1"
"16128073","b0080","NP_414622.1","DNA-binding transcriptional dual regulator","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","NP_232910.1"
"16128074","b0081","NP_414623.1","conserved protein, MraZ family","1 to 1","RBB","WP_011213343.1","0","N/A","","1 to 1","RBB","WP_006400450.1","0","N/A","","1 to 1","SSD","WP_013053304.1","0","N/A",""
"16128075","b0082","NP_414624.1","16S rRNA m(4)C1402 methyltranserfase, SAM-dependent","1 to 1","SSD","WP_027225279.1","1 to 1","RBB","WP_002866540.1","1 to 1","RBB","WP_012214191.1","1 to 1","SSD","WP_000018346.1","1 to 1","SSD","WP_013053303.1","1 to 1","SSD","NP_232039.1"
"16128076","b0083","NP_414625.1","membrane bound cell division protein at septum containing leucine zipper motif","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","SSD","WP_013053302.1","1 to 1","RBB","NP_232038.1"
"16128077","b0084","NP_414626.1","transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3)","1 to 1","SSD","WP_011946011.1","1 to 1","RBB","WP_002880961.1","2 to 1","RBB","WP_012217104.1;WP_012214190.1","1 to 1","SSD","WP_000227939.1","1 to 1","SSD","WP_013053301.1","1 to 1","SSD","NP_232037.1"
"16128078","b0085","NP_414627.1","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso- diaminopimelate ligase","1 to 1","SSD","WP_016356803.1","1 to 1","RBB","WP_002866612.1","1 to 1","RBB","WP_012214189.1","1 to 1","SSD","WP_000218539.1","1 to 1","SSD","WP_041420111.1","1 to 1","SSD","NP_232036.1"
"16128079","b0086","NP_414628.1","UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D- alanine ligase","1 to 1","SSD","WP_015443995.1","1 to 1","RBB","WP_014516998.1","1 to 1","RBB","WP_012214188.1","1 to 1","SSD","WP_000557517.1","1 to 1","SSD","WP_013053299.1","1 to 1","SSD","NP_232035.1"
"16128080","b0087","NP_414629.1","phospho-N-acetylmuramoyl-pentapeptide transferase","1 to 1","SSD","WP_014842671.1","1 to 1","RBB","WP_002867005.1","1 to 1","RBB","WP_006400444.1","1 to 1","SSD","WP_000928089.1","1 to 1","SSD","WP_013053298.1","1 to 1","SSD","NP_232034.1"
"16128081","b0088","NP_414630.1","UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase","1 to 1","SSD","WP_010948316.1","1 to 1","RBB","WP_002867006.1","1 to 1","RBB","WP_012214187.1","1 to 1","SSD","WP_000908243.1","1 to 1","SSD","WP_041420110.1","1 to 1","SSD","NP_232033.2"
"16128082","b0089","NP_414631.1","integral membrane protein involved in stabilizing FstZ ring during cell division","1 to 1","SSD","WP_011216490.1","0","N/A","","1 to 1","RBB","WP_006400442.1","1 to 1","SSD","WP_000907680.1","1 to 1","SSD","WP_041420109.1","1 to 1","SSD","NP_232032.1"
"16128083","b0090","NP_414632.1","N-acetylglucosaminyl transferase","1 to 1","Borderline-SSD","WP_013101202.1","1 to 1","RBB","WP_002866070.1","1 to 1","RBB","WP_012214186.1","1 to 1","SSD","WP_000132431.1","1 to 1","SSD","WP_013053295.1","1 to 1","SSD","NP_232031.1"
"16128084","b0091","NP_414633.1","UDP-N-acetylmuramate:L-alanine ligase","1 to 1","SSD","WP_010948314.1","1 to 1","RBB","WP_002866088.1","1 to 1","RBB","WP_012214185.1","1 to 1","SSD","WP_000075472.1","1 to 1","SSD","WP_041420108.1","1 to 1","SSD","NP_232030.1"
"16128085","b0092","NP_414634.1","D-alanine:D-alanine ligase","0","N/A","","1 to 2","RBB","WP_014516999.1","1 to 1","RBB","WP_006400439.1","1 to 1","SSD","WP_000063661.1","2 to 1","RBB","WP_013051691.1","2 to 1","RBB","NP_232962.1"
"16128086","b0093","NP_414635.1","Divisome assembly protein, membrane anchored protein involved in growth of wall at septum","1 to 1","RBB","WP_010948311.1","0","N/A","","1 to 1","RBB","WP_006400438.1","1 to 1","SSD","WP_000057903.1","1 to 1","SSD","WP_041420480.1","1 to 1","SSD","NP_232029.1"
"16128087","b0094","NP_414636.1","ATP-binding cell division protein involved in recruitment of FtsK to Z ring","1 to 1","SSD","WP_011216485.1","1 to 1","RBB","WP_002866542.1","1 to 1","RBB","WP_006400437.1","1 to 1","Borderline-SSD","WP_001287630.1","1 to 1","SSD","WP_013053291.1","1 to 1","SSD","NP_232028.1"
"16128088","b0095","NP_414637.1","GTP-binding tubulin-like cell division protein","1 to 1","SSD","WP_010948309.1","1 to 1","SSD","WP_014516979.1","1 to 1","RBB","WP_006400436.1","1 to 1","SSD","WP_000135734.1","1 to 1","SSD","WP_013053290.1","1 to 1","SSD","NP_232027.1"
"16128089","b0096","NP_414638.1","UDP-3-O-acyl N-acetylglucosamine deacetylase","1 to 1","SSD","WP_010948308.1","1 to 1","RBB","WP_014516898.1","1 to 1","RBB","WP_012214184.1","1 to 1","SSD","WP_000240700.1","1 to 1","SSD","WP_013053289.1","1 to 1","SSD","NP_232026.1"
"90111085","b0097","NP_414639.2","regulator of secA translation","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128091","b0098","NP_414640.1","preprotein translocase subunit, ATPase","1 to 1","SSD","WP_011213749.1","1 to 1","RBB","WP_002866879.1","1 to 1","RBB","WP_012214182.1","1 to 1","SSD","WP_000881348.1","1 to 1","SSD","WP_013053286.1","1 to 1","SSD","NP_232024.1"
"16128092","b0099","NP_414641.1","nucleoside triphosphate pyrophosphohydrolase, marked preference for dGTP","0","N/A","","0","N/A","","1 to 1","RBB","WP_012214180.1","1 to 1","SSD","WP_001125744.1","1 to 1","Borderline-SSD","WP_041420163.1","1 to 1","Borderline-SSD","NP_232022.1"
"16128094","b0101","NP_414643.1","DNA gyrase inhibitor","1 to 1","RBB","WP_010945977.1","0","N/A","","1 to 1","RBB","WP_006400427.1","1 to 1","SSD","WP_001138289.1","1 to 1","Borderline-SSD","WP_013049538.1","1 to 1","SSD","NP_232059.1"
"16128095","b0102","NP_414644.1","conserved protein","1 to 1","RBB","WP_010947195.1","0","N/A","","1 to 1","RBB","WP_006400426.1","0","N/A","","1 to 1","RBB","WP_013049539.1","1 to 1","RBB","NP_232058.1"
"16128096","b0103","NP_414645.1","dephospho-CoA kinase","1 to 1","SSD","WP_011213752.1","1 to 1","RBB","WP_002867071.1","1 to 1","RBB","WP_012214179.1","1 to 1","SSD","WP_000874125.1","1 to 1","SSD","WP_013049540.1","1 to 1","SSD","NP_232057.1"
"16128097","b0104","NP_414646.1","GMP reductase","1 to 1","RBB","WP_010948530.1","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","NP_232597.1"
"16128099","b0106","NP_414648.1","assembly protein in type IV pilin biogenesis, transmembrane protein","0","N/A","","1 to 2","RBB","WP_014517122.1","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128100","b0107","NP_414649.1","conserved protein with nucleoside triphosphate hydrolase domain","1 to 1","RBB","WP_010947251.1","1 to 2","RBB","WP_002867035.1","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128101","b0108","NP_414650.1","predicted major pilin subunit","2 to 1","RBB","WP_016356941.1;WP_015444381.1","0","N/A","","2 to 1","RBB","WP_012212785.1;WP_012214035.1","1 to 1","SSD","WP_000993717.1","0","N/A","","0","N/A",""
